date,latitude,longitude,xco2_bias_corrected
2024-02-18,23.549385,71.40546,422.7057
2024-02-18,23.551939,71.40443,422.18903
2024-02-18,22.93677,73.91874,419.45074
2024-02-18,19.151735,73.05552,423.68958
2024-02-18,19.153868,72.95837,427.06042
2024-02-18,19.086182,73.06082,424.78033
2024-02-18,18.910294,73.07646,422.6895
2024-02-18,18.816193,73.08479,425.01566
2024-02-27,24.57381,73.53784,420.0899
2024-02-27,21.149935,72.84049,424.9887
2024-02-24,25.451279,74.5795,426.18066
2024-02-24,26.065063,72.00887,422.44604
2024-02-24,26.067076,72.00753,424.31653
2024-02-24,23.912292,68.83725,423.80884
2024-02-24,23.9139,68.83551,424.67004
2024-02-24,23.916157,68.83388,424.44843
2024-02-24,23.551914,71.40727,422.2056
2024-02-24,23.54954,71.40564,424.2754
2024-02-24,23.551449,71.4045,422.16187
